Регион,Клиенты_брокеры,Активы_брокеры_тыс_руб,Клиенты_ДУ,Активы_ДУ_тыс_руб,Дата_отчета,Квартал,Год,Номер_квартала,Исходный_файл,ul_total,ip_total,ЮЛ_ИП_всего,population,активы_млрд_руб,клиентов_на_1000_ЮЛ_ИП,клиентов_на_10000_населения,активов_на_душу_руб,доля_в_РФ_%,охват_населения_pct,активы_на_клиента_брокера_тыс,активы_на_клиента_ду_тыс,доля_ду_в_клиентах_pct,доля_активов_ду_pct,активы_на_1000_юл_ип_тыс
Свердловская область,1018894.0,184817739.477523,30574.0,32212390.03895,31-03-2023,Q1-2023,2023,1,client_assets_1_2023.xlsx,342252,359892,702144,4240000.0,184.82,1451.12,2475.16,51186.35,3.29,149.47,181.39,1053.59,2.91,14.84,309096.32
Свердловская область,1098592.0,208664321.213314,30584.0,36174863.7235931,30-06-2023,Q2-2023,2023,2,client_assets_2_2023.xlsx,344307,367842,712149,4240000.0,208.66,1542.64,2663.15,57745.09,3.31,158.56,189.94,1182.8,2.71,14.77,343803.31
Свердловская область,1183793.0,254397119.29831,30877.0,40892555.51769,30-09-2023,Q3-2023,2023,3,client_assets_3_2023.xlsx,343548,375895,719443,4240000.0,254.4,1645.43,2864.79,69643.79,3.34,168.83,214.9,1324.37,2.54,13.85,410442.07
Свердловская область,1305213.0,246533988.16151,30583.0,40573283.16926,31-12-2023,Q4-2023,2023,4,client_assets_4_2023.xlsx,337246,383225,720471,4240000.0,246.53,1811.61,3150.46,67713.98,3.35,185.41,188.88,1326.66,2.29,14.13,398499.41
Свердловская область,1369849.0,264054946.05044,30115.0,39287514.70313,31-03-2024,Q1-2024,2024,1,client_assets_1_2024.xlsx,334433,388153,722586,4230000.0,264.05,1895.76,3309.61,71712.17,3.36,193.74,192.76,1304.58,2.15,12.95,419801.19
Свердловская область,1427723.0,248329382.3708001,29877.0,37400779.25300999,30-06-2024,Q2-2024,2024,2,client_assets_2_2024.xlsx,334086,395357,729443,4230000.0,248.33,1957.28,3445.86,67548.5,3.35,199.82,173.93,1251.83,2.05,13.09,391710.06
Свердловская область,1499978.0,272818268.57044995,29697.0,40294430.80613003,30-09-2024,Q3-2024,2024,3,client_assets_3_2024.xlsx,333764,403109,736873,4230000.0,272.82,2035.6,3616.25,74021.91,3.34,207.59,181.88,1356.85,1.94,12.87,424920.85
Свердловская область,1565476.0,292619054.75336,28649.0,46119083.53633,31-12-2024,Q4-2024,2024,4,client_assets_4_2024.xlsx,333251,409740,742991,4230000.0,292.62,2106.99,3768.62,80079.94,3.32,214.56,186.92,1609.8,1.8,13.61,455911.5
Свердловская область,1616039.0,300462137.38021004,28058.0,43013228.077049986,31-03-2025,Q1-2025,2025,1,client_assets_1_2025.xlsx,331934,412133,744067,4221452.0,300.46,2171.9,3894.62,81364.27,3.3,220.96,185.93,1533.01,1.71,12.52,461618.87
Свердловская область,1665531.0,318781425.15677243,27857.0,44363792.05029999,30-06-2025,Q2-2025,2025,2,client_assets_2_2025.xlsx,329788,417642,747430,4221452.0,318.78,2228.34,4011.39,86023.77,3.29,226.56,191.4,1592.55,1.65,12.22,485858.5
Свердловская область,1731662.0,343320517.97553,27789.0,46239717.22993,30-09-2025,Q3-2025,2025,3,client_assets_3_2025.xlsx,328478,426129,754607,4221452.0,343.32,2294.79,4167.88,92281.1,3.28,233.16,198.26,1663.96,1.58,11.87,516242.54
"Тюменская область, в т.ч. Ханты-Мансийский автономный округ - Югра, Ямало-Ненецкий автономный округ",578839.0,361297026.55667,27983.0,44390007.30035,30-09-2021,Q3-2021,2021,3,client_assets_3_2021.xlsx,221508,277271,498779,3812032.0,361.3,1160.51,1591.86,106422.78,3.38,121.66,624.18,1586.32,4.61,10.94,813360.29
"Тюменская область, в т.ч. Ханты-Мансийский автономный округ - Югра, Ямало-Ненецкий автономный округ",673891.0,356738783.15509,32999.0,44660245.79575,31-12-2021,Q4-2021,2021,4,client_assets_4_2021.xlsx,218764,284945,503709,3812032.0,356.74,1337.86,1854.37,105297.92,3.34,140.34,529.37,1353.38,4.67,11.13,796886.75
"Тюменская область, в т.ч. Ханты-Мансийский автономный округ - Югра, Ямало-Ненецкий автономный округ",766991.0,321282785.48187,33440.0,40340134.33134,31-03-2022,Q1-2022,2022,1,client_assets_1_2022.xlsx,216180,289567,505747,3830000.0,321.28,1516.55,2089.9,94418.52,3.31,158.27,418.89,1206.34,4.18,11.16,715027.32
"Тюменская область, в т.ч. Ханты-Мансийский автономный округ - Югра, Ямало-Ненецкий автономный округ",838864.0,359639329.01597,33077.0,34247447.14084,30-06-2022,Q2-2022,2022,2,client_assets_2_2022.xlsx,215039,292538,507577,3830000.0,359.64,1652.68,2276.61,102842.5,3.28,171.78,428.72,1035.39,3.79,8.69,776013.84
"Тюменская область, в т.ч. Ханты-Мансийский автономный округ - Югра, Ямало-Ненецкий автономный округ",890162.0,324756709.61266,32821.0,34641426.17873,30-09-2022,Q3-2022,2022,3,client_assets_3_2022.xlsx,214089,295547,509636,3830000.0,324.76,1746.66,2409.88,93837.63,3.26,181.11,364.83,1055.47,3.56,9.64,705205.55
"Тюменская область, в т.ч. Ханты-Мансийский автономный округ - Югра, Ямало-Ненецкий автономный округ",942987.0,333530465.998185,31818.0,39415089.23109,31-12-2022,Q4-2022,2022,4,client_assets_4_2022.xlsx,213032,298581,511613,3830000.0,333.53,1843.16,2545.18,97374.82,3.24,190.54,353.7,1238.77,3.26,10.57,728960.28
"Тюменская область, в т.ч. Ханты-Мансийский автономный округ - Югра, Ямало-Ненецкий автономный округ",995874.0,365395326.678147,30384.0,41091757.07135,31-03-2023,Q1-2023,2023,1,client_assets_1_2023.xlsx,212565,300341,512906,3842000.0,365.4,1941.63,2671.16,105800.91,3.21,200.09,366.91,1352.41,2.96,10.11,792517.7
"Тюменская область, в т.ч. Ханты-Мансийский автономный округ - Югра, Ямало-Ненецкий автономный округ",1061339.0,368318677.406587,30016.0,44844456.7473873,30-06-2023,Q2-2023,2023,2,client_assets_2_2023.xlsx,213671,307535,521206,3842000.0,368.32,2036.31,2840.59,107538.56,3.2,209.39,347.03,1494.02,2.75,10.85,792706.02
"Тюменская область, в т.ч. Ханты-Мансийский автономный округ - Югра, Ямало-Ненецкий автономный округ",1130905.0,386333317.39675,29526.0,47599850.89705,30-09-2023,Q3-2023,2023,3,client_assets_3_2023.xlsx,213513,314864,528377,3842000.0,386.33,2140.34,3020.38,112944.6,3.19,219.62,341.61,1612.13,2.54,10.97,821256.73
"Тюменская область, в т.ч. Ханты-Мансийский автономный округ - Югра, Ямало-Ненецкий автономный округ",1239330.0,321311659.58659,28647.0,46284708.64831,31-12-2023,Q4-2023,2023,4,client_assets_4_2023.xlsx,212489,322641,535130,3842000.0,321.31,2315.94,3300.3,95678.39,3.19,236.95,259.26,1615.69,2.26,12.59,686929.1
"Тюменская область, в т.ч. Ханты-Мансийский автономный округ - Югра, Ямало-Ненецкий автономный округ",1290398.0,330890106.90206,27901.0,45241666.48934,31-03-2024,Q1-2024,2024,1,client_assets_1_2024.xlsx,211572,327025,538597,3845000.0,330.89,2395.85,3428.61,97823.61,3.16,244.77,256.42,1621.51,2.12,12.03,698354.75
"Тюменская область, в т.ч. Ханты-Мансийский автономный округ - Югра, Ямало-Ненецкий автономный округ",1333990.0,328670199.76795,27570.0,40567120.435499996,30-06-2024,Q2-2024,2024,2,client_assets_2_2024.xlsx,210352,333948,544300,3845000.0,328.67,2450.84,3541.12,96030.51,3.13,250.15,246.38,1471.42,2.02,10.99,678370.97
"Тюменская область, в т.ч. Ханты-Мансийский автономный округ - Югра, Ямало-Ненецкий автономный округ",1396546.0,322507144.46035004,27122.0,41323892.09242003,30-09-2024,Q3-2024,2024,3,client_assets_3_2024.xlsx,209560,341067,550627,3845000.0,322.51,2536.28,3702.65,94624.46,3.11,258.55,230.93,1523.63,1.91,11.36,660757.71
"Тюменская область, в т.ч. Ханты-Мансийский автономный округ - Югра, Ямало-Ненецкий автономный округ",1457085.0,262038194.30099,26212.0,43171225.60164,31-12-2024,Q4-2024,2024,4,client_assets_4_2024.xlsx,208938,347395,556333,3845000.0,262.04,2619.09,3857.73,79378.26,3.09,266.62,179.84,1647.0,1.77,14.14,548609.23
"Тюменская область, в т.ч. Ханты-Мансийский автономный округ - Югра, Ямало-Ненецкий автономный округ",1506571.0,186814514.18049002,25512.0,41658389.60365997,31-03-2025,Q1-2025,2025,1,client_assets_1_2025.xlsx,208346,349176,557522,3931696.0,186.81,2702.26,3896.75,58110.52,3.08,274.8,124.0,1632.89,1.67,18.23,409800.7
"Тюменская область, в т.ч. Ханты-Мансийский автономный округ - Югра, Ямало-Ненецкий автономный округ",1557323.0,222484604.55084,25433.0,41304847.57432,30-06-2025,Q2-2025,2025,2,client_assets_2_2025.xlsx,207191,353686,560877,3931696.0,222.48,2776.59,4025.63,67093.04,3.08,282.19,142.86,1624.07,1.61,15.66,470316.04
"Тюменская область, в т.ч. Ханты-Мансийский автономный округ - Югра, Ямало-Ненецкий автономный округ",1624887.0,406196042.77061,25334.0,42775723.76565,30-09-2025,Q3-2025,2025,3,client_assets_3_2025.xlsx,206031,360205,566236,3931696.0,406.2,2869.63,4197.22,114192.9,3.08,291.44,249.98,1688.47,1.54,9.53,792905.73
УРАЛЬСКИЙ ФЕДЕРАЛЬНЫЙ ОКРУГ,1636700.0,700313520.20093,64653.0,91751769.59265,30-09-2021,Q3-2021,2021,3,client_assets_3_2021.xlsx,820533,892446,1712979,12302503.0,700.31,955.47,1382.93,64382.45,9.57,99.32,427.88,1419.14,3.8,11.58,462390.54
УРАЛЬСКИЙ ФЕДЕРАЛЬНЫЙ ОКРУГ,1924014.0,707555101.329,84791.0,94662682.46243,31-12-2021,Q4-2021,2021,4,client_assets_4_2021.xlsx,811669,914388,1726057,12302503.0,707.56,1114.69,1632.84,65207.69,9.54,116.38,367.75,1116.42,4.22,11.8,464769.0
УРАЛЬСКИЙ ФЕДЕРАЛЬНЫЙ ОКРУГ,2207374.0,606747567.0698,88216.0,84538799.14068,31-03-2022,Q1-2022,2022,1,client_assets_1_2022.xlsx,802455,928986,1731441,12300000.0,606.75,1274.88,1866.33,56202.14,9.54,132.58,274.87,958.32,3.84,12.23,399254.94
УРАЛЬСКИЙ ФЕДЕРАЛЬНЫЙ ОКРУГ,2432923.0,600133761.61359,88755.0,73325613.06083,30-06-2022,Q2-2022,2022,2,client_assets_2_2022.xlsx,800498,937753,1738251,12300000.0,600.13,1399.64,2050.14,54752.79,9.51,145.07,246.67,826.16,3.52,10.89,387435.06
УРАЛЬСКИЙ ФЕДЕРАЛЬНЫЙ ОКРУГ,2596717.0,565946959.605577,89286.0,74709012.65267,30-09-2022,Q3-2022,2022,3,client_assets_3_2022.xlsx,800355,946249,1746604,12300000.0,565.95,1486.72,2183.74,52085.85,9.52,153.78,217.95,836.74,3.32,11.66,366800.93
УРАЛЬСКИЙ ФЕДЕРАЛЬНЫЙ ОКРУГ,2767762.0,607925864.867674,87261.0,85213888.00724,31-12-2022,Q4-2022,2022,4,client_assets_4_2022.xlsx,801039,955279,1756318,12300000.0,607.93,1575.89,2321.16,56352.83,9.5,162.56,219.65,976.54,3.06,12.29,394655.04
УРАЛЬСКИЙ ФЕДЕРАЛЬНЫЙ ОКРУГ,2942678.0,687649820.271925,84791.0,91340096.02793,31-03-2023,Q1-2023,2023,1,client_assets_1_2023.xlsx,802339,960714,1763053,12271900.0,687.65,1669.08,2466.99,63477.53,9.49,171.72,233.68,1077.24,2.8,11.73,441841.46
УРАЛЬСКИЙ ФЕДЕРАЛЬНЫЙ ОКРУГ,3161278.0,730858803.487204,84592.0,101330008.643972,30-06-2023,Q2-2023,2023,2,client_assets_2_2023.xlsx,807004,982993,1789997,12271900.0,730.86,1766.08,2644.96,67812.55,9.52,181.33,231.19,1197.87,2.61,12.18,464910.73
УРАЛЬСКИЙ ФЕДЕРАЛЬНЫЙ ОКРУГ,3389668.0,812264457.96246,84511.0,111012079.08413,30-09-2023,Q3-2023,2023,3,client_assets_3_2023.xlsx,804671,1004756,1809427,12271900.0,812.26,1873.34,2831.0,75235.01,9.55,192.0,239.63,1313.58,2.43,12.02,510259.07
УРАЛЬСКИЙ ФЕДЕРАЛЬНЫЙ ОКРУГ,3728587.0,750144130.63493,82848.0,108601016.17252,31-12-2023,Q4-2023,2023,4,client_assets_4_2023.xlsx,792717,1025658,1818375,12271900.0,750.14,2050.5,3105.82,69976.54,9.58,209.61,201.19,1310.85,2.17,12.65,472259.65
УРАЛЬСКИЙ ФЕДЕРАЛЬНЫЙ ОКРУГ,3903717.0,791492016.83206,81039.0,107245320.4887,31-03-2024,Q1-2024,2024,1,client_assets_1_2024.xlsx,787515,1039178,1826693,12260711.0,791.49,2137.04,3250.02,73302.22,9.57,218.14,202.75,1323.38,2.03,11.93,492002.4
УРАЛЬСКИЙ ФЕДЕРАЛЬНЫЙ ОКРУГ,4059817.0,766635505.59146,80305.0,99688408.24464001,30-06-2024,Q2-2024,2024,2,client_assets_2_2024.xlsx,785257,1059665,1844922,12260711.0,766.64,2200.54,3376.74,70658.54,9.52,224.41,188.83,1241.37,1.94,11.51,469572.11
УРАЛЬСКИЙ ФЕДЕРАЛЬНЫЙ ОКРУГ,4267674.0,779072112.06288,79361.0,104407382.17740007,30-09-2024,Q3-2024,2024,3,client_assets_3_2024.xlsx,783425,1081640,1865065,12260711.0,779.07,2288.22,3545.5,72057.77,9.5,233.08,182.55,1315.6,1.83,11.82,473699.04
УРАЛЬСКИЙ ФЕДЕРАЛЬНЫЙ ОКРУГ,4458097.0,746026051.82737,76999.0,115236199.03687,31-12-2024,Q4-2024,2024,4,client_assets_4_2024.xlsx,781213,1101335,1882548,12260711.0,746.03,2368.12,3698.88,70245.7,9.45,240.9,167.34,1496.59,1.7,13.38,457498.16
УРАЛЬСКИЙ ФЕДЕРАЛЬНЫЙ ОКРУГ,4610499.0,678721113.1435401,75039.0,106880604.56450996,31-03-2025,Q1-2025,2025,1,client_assets_1_2025.xlsx,778728,1108423,1887151,12302503.0,678.72,2443.1,3808.61,63857.06,9.43,248.29,147.21,1424.33,1.6,13.6,416289.8
УРАЛЬСКИЙ ФЕДЕРАЛЬНЫЙ ОКРУГ,4761752.0,739111096.5600824,74670.0,108273599.76916997,30-06-2025,Q2-2025,2025,2,client_assets_2_2025.xlsx,772341,1123425,1895766,12302503.0,739.11,2511.78,3931.25,68879.05,9.41,255.12,155.22,1450.03,1.54,12.78,446988.02
УРАЛЬСКИЙ ФЕДЕРАЛЬНЫЙ ОКРУГ,4963613.0,955589971.672415,74625.0,113884115.17932,30-09-2025,Q3-2025,2025,3,client_assets_3_2025.xlsx,768233,1145993,1914226,12302503.0,955.59,2593.01,4095.3,86931.42,9.4,263.2,192.52,1526.09,1.48,10.65,558697.92
ЦЕНТРАЛЬНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ,4935169.0,11002699449.9444,261383.0,1126713341.02087,30-09-2021,Q3-2021,2021,3,client_assets_3_2021.xlsx,3413583,3168267,6581850,40319531.0,11002.7,749.81,1288.84,300832.19,28.84,78.95,2229.45,4310.58,5.03,9.29,1842857.68
ЦЕНТРАЛЬНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ,5743171.0,11069439876.3809,296121.0,1154033137.94787,31-12-2021,Q4-2021,2021,4,client_assets_4_2021.xlsx,3342054,3272491,6614545,40319531.0,11069.44,868.26,1497.86,303165.06,28.49,91.3,1927.41,3897.17,4.9,9.44,1847968.83
ЦЕНТРАЛЬНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ,6576877.0,9118046589.66221,300177.0,1009791090.88806,31-03-2022,Q1-2022,2022,1,client_assets_1_2022.xlsx,3289364,3347570,6636934,40250000.0,9118.05,990.95,1708.58,251623.3,28.43,103.62,1386.38,3363.99,4.36,9.97,1525981.38
ЦЕНТРАЛЬНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ,7278622.0,8765698215.23874,295970.0,915191013.1823,30-06-2022,Q2-2022,2022,2,client_assets_2_2022.xlsx,3281235,3396912,6678147,40250000.0,8765.7,1089.92,1881.89,240518.99,28.46,113.42,1204.31,3092.17,3.91,9.45,1449637.04
ЦЕНТРАЛЬНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ,7722559.0,8834232457.10148,290300.0,1057404610.10693,30-09-2022,Q3-2022,2022,3,client_assets_3_2022.xlsx,3270050,3448926,6718976,40250000.0,8834.23,1149.37,1990.77,245754.96,28.32,119.26,1143.95,3642.45,3.62,10.69,1472194.14
ЦЕНТРАЛЬНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ,8201057.0,9994183649.81196,278749.0,1205804364.84119,31-12-2022,Q4-2022,2022,4,client_assets_4_2022.xlsx,3297799,3480369,6778168,40250000.0,9994.18,1209.92,2106.78,278260.57,28.15,125.1,1218.65,4325.77,3.29,10.77,1652362.12
ЦЕНТРАЛЬНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ,8675203.0,11464736640.2387,266312.0,1259763271.32366,31-03-2023,Q1-2023,2023,1,client_assets_1_2023.xlsx,3349675,3510551,6860226,40200000.0,11464.74,1264.57,2224.26,316529.85,27.99,130.34,1321.55,4730.4,2.98,9.9,1854822.26
ЦЕНТРАЛЬНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ,9179819.0,12651903607.6277,264996.0,1408975803.85725,30-06-2023,Q2-2023,2023,2,client_assets_2_2023.xlsx,3395694,3600495,6996189,40200000.0,12651.9,1312.12,2349.46,349773.12,27.65,135.0,1378.23,5316.97,2.81,10.02,2009791.25
ЦЕНТРАЛЬНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ,9756199.0,13981733516.9041,264863.0,1575878933.50621,30-09-2023,Q3-2023,2023,3,client_assets_3_2023.xlsx,3385408,3680234,7065642,40200000.0,13981.73,1380.79,2492.8,387005.28,27.49,141.83,1433.11,5949.79,2.64,10.13,2201868.2
ЦЕНТРАЛЬНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ,10625921.0,14441201599.5237,256108.0,1617559844.07291,31-12-2023,Q4-2023,2023,4,client_assets_4_2023.xlsx,3367120,3750355,7117475,40200000.0,14441.2,1492.93,2706.97,399471.68,27.31,152.89,1359.05,6315.93,2.35,10.07,2256244.17
ЦЕНТРАЛЬНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ,11083848.0,14873562693.152,247056.0,1703556205.09936,31-03-2024,Q1-2024,2024,1,client_assets_1_2024.xlsx,3397420,3794571,7191991,40219456.0,14873.56,1541.14,2817.27,412166.66,27.17,157.55,1341.91,6895.43,2.18,10.28,2304941.55
ЦЕНТРАЛЬНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ,11520824.0,14392712687.31839,245644.0,1718967412.4292605,30-06-2024,Q2-2024,2024,2,client_assets_2_2024.xlsx,3412094,3868228,7280322,40219456.0,14392.71,1582.46,2925.57,400594.18,27.02,161.62,1249.28,6997.8,2.09,10.67,2213044.99
ЦЕНТРАЛЬНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ,12017795.0,14810993293.118881,243191.0,1727900906.8542695,30-09-2024,Q3-2024,2024,3,client_assets_3_2024.xlsx,3416672,3942503,7359175,40219456.0,14810.99,1633.04,3048.52,411216.26,26.76,166.61,1232.42,7105.12,1.98,10.45,2247384.28
ЦЕНТРАЛЬНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ,12564823.0,15663402715.3085,241117.0,1876231982.08098,31-12-2024,Q4-2024,2024,4,client_assets_4_2024.xlsx,3429810,4001208,7431018,40219456.0,15663.4,1690.86,3184.02,436098.26,26.65,172.33,1246.61,7781.42,1.88,10.7,2360327.31
ЦЕНТРАЛЬНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ,12982544.0,16366882547.881048,236662.0,1916166129.27668,31-03-2025,Q1-2025,2025,1,client_assets_1_2025.xlsx,3419235,4020587,7439822,40319531.0,16366.88,1745.01,3278.61,453453.9,26.55,177.68,1260.68,8096.64,1.79,10.48,2457457.81
ЦЕНТРАЛЬНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ,13385413.0,17144193334.428864,235840.0,1993063692.8422725,30-06-2025,Q2-2025,2025,2,client_assets_2_2025.xlsx,3367260,4079238,7446498,40319531.0,17144.19,1797.54,3378.33,474639.87,26.46,182.92,1280.81,8450.91,1.73,10.41,2569967.39
ЦЕНТРАЛЬНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ,13960659.0,18021691396.6496,236877.0,2141377184.88339,30-09-2025,Q3-2025,2025,3,client_assets_3_2025.xlsx,3336294,4167518,7503812,40319531.0,18021.69,1860.48,3521.26,500081.92,26.43,189.2,1290.89,9040.04,1.67,10.62,2687043.41
Челябинская область,424422.0,125962564.05022,12772.0,20061981.01873,30-09-2021,Q3-2021,2021,3,client_assets_3_2021.xlsx,217882,239605,457487,3433528.0,125.96,927.72,1273.31,42529.01,2.48,95.56,296.79,1570.78,2.92,13.74,319188.4
Челябинская область,502523.0,128180152.33252,18203.0,21201509.83189,31-12-2021,Q4-2021,2021,4,client_assets_4_2021.xlsx,216252,244964,461216,3433528.0,128.18,1089.56,1516.59,43506.76,2.49,112.9,255.07,1164.73,3.5,14.19,323886.56
Челябинская область,581013.0,108860340.51431,19323.0,18179019.02133,31-03-2022,Q1-2022,2022,1,client_assets_1_2022.xlsx,214189,248233,462422,3420000.0,108.86,1256.46,1755.37,37146.01,2.51,129.82,187.36,940.8,3.22,14.31,274726.03
Челябинская область,643169.0,92009556.88667,19616.0,17457629.36058,30-06-2022,Q2-2022,2022,2,client_assets_2_2022.xlsx,213846,250088,463934,3420000.0,92.01,1386.34,1937.97,32007.95,2.51,142.86,143.06,889.97,2.96,15.95,235954.22
Челябинская область,688754.0,94568770.752323,19786.0,15385356.53913,30-09-2022,Q3-2022,2022,3,client_assets_3_2022.xlsx,214170,251563,465733,3420000.0,94.57,1478.86,2071.75,32150.33,2.53,152.13,137.3,777.59,2.79,13.99,236088.33
Челябинская область,735312.0,112311487.246603,19443.0,14994961.75315,31-12-2022,Q4-2022,2022,4,client_assets_4_2022.xlsx,214830,253354,468184,3420000.0,112.31,1570.56,2206.89,37224.11,2.52,161.21,152.74,771.23,2.58,11.78,271915.42
Челябинская область,784439.0,129495050.167464,19135.0,16741907.16775,31-03-2023,Q1-2023,2023,1,client_assets_1_2023.xlsx,215928,254687,470615,3400000.0,129.5,1666.84,2363.45,43010.87,2.53,170.75,165.08,874.94,2.38,11.45,310735.86
Челябинская область,845820.0,144381984.902845,19367.0,19063835.6573312,30-06-2023,Q2-2023,2023,2,client_assets_2_2023.xlsx,217531,260780,478311,3400000.0,144.38,1768.35,2544.67,48072.3,2.55,180.88,170.7,984.35,2.24,11.66,341714.53
Челябинская область,908090.0,160933908.37944,19584.0,21134746.7015,30-09-2023,Q3-2023,2023,3,client_assets_3_2023.xlsx,216260,266099,482359,3400000.0,160.93,1882.6,2728.45,53549.6,2.56,192.32,177.22,1079.18,2.11,11.61,377454.67
Челябинская область,1000239.0,171048284.084,19232.0,20379566.98671,31-12-2023,Q4-2023,2023,4,client_assets_4_2023.xlsx,211949,270769,482718,3400000.0,171.05,2072.1,2998.44,56302.31,2.57,211.19,171.01,1059.67,1.89,10.65,396562.49
Челябинская область,1049606.0,184732545.98985,18767.0,21447823.51172,31-03-2024,Q1-2024,2024,1,client_assets_1_2024.xlsx,210627,273845,484472,3390000.0,184.73,2166.49,3151.54,60820.17,2.57,220.52,176.0,1142.85,1.76,10.4,425577.47
Челябинская область,1094810.0,178416084.66462994,18698.0,20394231.97327001,30-06-2024,Q2-2024,2024,2,client_assets_2_2024.xlsx,209963,279268,489231,3390000.0,178.42,2237.82,3284.68,58646.11,2.57,227.6,162.97,1090.72,1.68,10.26,406373.1
Челябинская область,1154091.0,171596534.02650994,18500.0,21480421.27325001,30-09-2024,Q3-2024,2024,3,client_assets_3_2024.xlsx,209308,285184,494492,3390000.0,171.6,2333.89,3458.97,56954.85,2.57,237.13,148.69,1161.1,1.58,11.13,390455.16
Челябинская область,1205652.0,178138658.68161,18194.0,24383394.14255,31-12-2024,Q4-2024,2024,4,client_assets_4_2024.xlsx,208253,290429,498682,3390000.0,178.14,2417.68,3610.17,59741.02,2.56,245.42,147.75,1340.19,1.49,12.04,406114.62
Челябинская область,1248346.0,177334680.93963012,17648.0,20804478.416590013,31-03-2025,Q1-2025,2025,1,client_assets_1_2025.xlsx,207635,292196,499831,3385124.0,177.33,2497.54,3739.87,58532.32,2.55,253.28,142.06,1178.86,1.39,10.5,396412.31
Челябинская область,1290202.0,182530746.3449,17596.0,21244041.141799975,30-06-2025,Q2-2025,2025,2,client_assets_2_2025.xlsx,204663,296822,501485,3385124.0,182.53,2572.76,3863.37,60197.14,2.55,260.79,141.47,1207.32,1.35,10.43,406342.74
Челябинская область,1345034.0,189208185.271225,17716.0,23237719.19845,30-09-2025,Q3-2025,2025,3,client_assets_3_2025.xlsx,203066,303442,506508,3385124.0,189.21,2655.5,4025.7,62758.68,2.55,269.05,140.67,1311.68,1.3,10.94,419432.48
ЮЖНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ,1575244.0,595255827.69757,46066.0,53006548.69969,30-09-2021,Q3-2021,2021,3,client_assets_3_2021.xlsx,826126,1534425,2360551,16737900.0,595.26,667.32,968.65,38730.21,9.21,68.68,377.88,1150.67,2.84,8.18,274623.33
ЮЖНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ,1883177.0,636134466.97204,63335.0,53077728.63423,31-12-2021,Q4-2021,2021,4,client_assets_4_2021.xlsx,816730,1551754,2368484,16737900.0,636.13,795.1,1162.94,41176.74,9.34,82.18,337.8,838.05,3.25,7.7,290992.97
ЮЖНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ,2195743.0,454101482.94554,67374.0,47665414.28032,31-03-2022,Q1-2022,2022,1,client_assets_1_2022.xlsx,801851,1567473,2369324,16737900.0,454.1,926.74,1352.09,29977.89,9.49,95.52,206.81,707.47,2.98,9.5,211776.4
ЮЖНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ,2420617.0,445726258.22449,68815.0,38009768.77748,30-06-2022,Q2-2022,2022,2,client_assets_2_2022.xlsx,795510,1582690,2378200,16737900.0,445.73,1017.84,1487.3,28900.64,9.46,104.68,184.14,552.35,2.76,7.86,203404.27
ЮЖНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ,2595233.0,355964561.358861,68972.0,39262045.33054,30-09-2022,Q3-2022,2022,3,client_assets_3_2022.xlsx,787239,1596805,2384044,16737900.0,355.96,1088.58,1591.72,23612.68,9.52,111.75,137.16,569.25,2.59,9.93,165779.91
ЮЖНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ,2801063.0,387723837.402056,67650.0,45778487.28633,31-12-2022,Q4-2022,2022,4,client_assets_4_2022.xlsx,782888,1595264,2378152,16737900.0,387.72,1177.83,1713.9,25899.45,9.61,120.63,138.42,676.7,2.36,10.56,182285.37
ЮЖНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ,3000062.0,440843859.672079,66203.0,49541736.97849,31-03-2023,Q1-2023,2023,1,client_assets_1_2023.xlsx,783337,1605034,2388371,16642052.0,440.84,1256.11,1842.48,29466.65,9.68,128.38,146.94,748.33,2.16,10.1,205322.2
ЮЖНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ,3237471.0,514867638.463164,66098.0,54957697.8647747,30-06-2023,Q2-2023,2023,2,client_assets_2_2023.xlsx,787420,1647765,2435185,16642052.0,514.87,1329.46,1985.07,34240.09,9.75,135.66,159.03,831.46,2.0,9.64,233996.73
